Intensity,Wavenumber
-12.25,4289.299654
8.857142857,4287.400086
146,4285.500997
-31.55555556,4283.602386
7.5,4281.704255
8.058823529,4279.806602
2.272727273,4277.909427
15.08333333,4276.012731
-0.838709677,4274.116513
-21.6,4272.220773
13.77777778,4270.325511
-66,4268.430728
1,4266.536421
-140,4264.642593
36.6,4262.749242
0.111111111,4260.856368
3,4258.963972
-19.77777778,4257.072053
-28.33333333,4255.180611
5.636363636,4253.289646
3.473684211,4251.399158
4.388888889,4249.509146
9.523809524,4247.619611
-74,4245.730552
2.806451613,4243.84197
0.666666667,4241.953864
0.076923077,4240.066234
-3.9,4238.179081
-15,4236.292403
-0.6,4234.4062
-41.25,4232.520474
2.533333333,4230.635223
-18,4228.750447
4.173913043,4226.866147
-45,4224.982321
6.714285714,4223.098971
42.6,4221.216096
32.4,4219.333696
19.5,4217.45177
12,4215.570319
2.407407407,4213.689342
4.967741935,4211.80884
6,4209.928812
-27.4,4208.049257
1.431034483,4206.170177
15.18181818,4204.291571
5.434782609,4202.413439
0.740740741,4200.53578
4.106382979,4198.658595
20.25,4196.781883
13.13333333,4194.905644
8.321428571,4193.029879
10.75,4191.154587
2.404761905,4189.279767
0.714285714,4187.405421
0.275862069,4185.531547
-0.136363636,4183.658145
3,4181.785216
2.641025641,4179.91276
-0.833333333,4178.040776
-1.355555556,4176.169263
2.461538462,4174.298223
0.116666667,4172.427655
6.055555556,4170.557558
-1.6,4168.687933
6.1875,4166.81878
0.710144928,4164.950098
0.45,4163.081887
0.028985507,4161.214148
1.057142857,4159.34688
2.52173913,4157.480082
0.92,4155.613755
3.253968254,4153.747899
0.217391304,4151.882514
0.431372549,4150.017599
1.442105263,4148.153155
0.715447154,4146.28918
-0.203252033,4144.425676
-0.255474453,4142.562642
-0.362962963,4140.700078
0.698113208,4138.837984
0.64,4136.976359
0.648351648,4135.115204
0.039548023,4133.254518
1.089108911,4131.394301
0.420168067,4129.534554
-0.107692308,4127.675276
0.307692308,4125.816467
-0.282608696,4123.958126
0.313364055,4122.100255
0.719869707,4120.242852
0.274021352,4118.385917
-0.294303797,4116.529451
0.44047619,4114.673453
0.426791277,4112.817924
0.448170732,4110.962862
0.391812865,4109.108268
0.650273224,4107.254142
0.15403423,4105.400484
0.581578947,4103.547294
0.128805621,4101.69457
0.335511983,4099.842315
-0.082332762,4097.990526
0.241779497,4096.139205
0.061682243,4094.28835
0.117647059,4092.437963
0.213872832,4090.588042
-0.020700637,4088.738588
-0.116161616,4086.8896
0.135285914,4085.041079
0.175033921,4083.193024
0.105263158,4081.345435
0.078014184,4079.498313
0.257887517,4077.651656
0.218826406,4075.805466
0.177897574,4073.959741
0.04607721,4072.114481
0.040494938,4070.269687
0.110859729,4068.425359
0.137605042,4066.581496
0.157377049,4064.738097
0.121524202,4062.895164
0.07902439,4061.052696
0.06744868,4059.210693
0.150890347,4057.369155
0.104072398,4055.528081
0.254432624,4053.687471
0.321148825,4051.847326
0.280405405,4050.007645
0.01816609,4048.168428
0.041867955,4046.329676
-0.015873016,4044.491387
0.146433991,4042.653562
0.07340824,4040.8162
0.092827004,4038.979302
0.046989721,4037.142868
0.118895966,4035.306897
0.107355865,4033.471389
0.189244384,4031.636344
0.062380649,4029.801763
0.061848958,4027.967644
0.021329987,4026.133988
0.101651842,4024.300794
0.096811594,4022.468063
0.082359813,4020.635795
0.1208981,4018.803989
0.034559643,4016.972645
0.094182825,4015.141763
0.038285714,4013.311343
0.074771382,4011.481385
-0.012899897,4009.651888
0.044088176,4007.822853
0.07642998,4005.99428
0.109731877,4004.166168
0.074222668,4002.338518
0.038770686,4000.511328
0.027338129,3998.6846
0.142374517,3996.858332
0.07114094,3995.032526
0.101783384,3993.20718
0.080830389,3991.382295
0.089399745,3989.55787
0.098164746,3987.733905
0.069139966,3985.910401
-0.024547284,3984.087357
0.054538217,3982.264773
0.048951995,3980.442649
0.064923582,3978.620985
0.035404896,3976.79978
0.089508437,3974.979035
0.006959707,3973.15875
0.127485795,3971.338923
0.095658313,3969.519556
0.063038236,3967.700649
0.032739178,3965.8822
-0.002417127,3964.06421
0.005998001,3962.246679
0.044716794,3960.429606
0.057729941,3958.612992
0.007428941,3956.796837
0.023515225,3954.98114
0.083006536,3953.165901
0.024179104,3951.35112
0.078180737,3949.536798
0.045020871,3947.722933
0.058527934,3945.909526
0.003802281,3944.096576
0.048269846,3942.284084
0.027566807,3940.47205
0.071821684,3938.660473
0.018952062,3936.849353
0.045466702,3935.03869
0.001335113,3933.228484
0.004212744,3931.418736
0.02448355,3929.609443
0.042151539,3927.800608
0.04277517,3925.992229
0.056923077,3924.184306
0.02938247,3922.37684
0.043848965,3920.56983
0.043593449,3918.763276
0.080649068,3916.957178
0.0409257,3915.151536
-0.002382087,3913.34635
0.023194644,3911.541619
0.032188841,3909.737344
0.0361137,3907.933524
0.055731763,3906.13016
0.05841384,3904.327251
0.054989817,3902.524797
-0.010416667,3900.722797
0.015395065,3898.921253
0.018955155,3897.120164
0.031850011,3895.319529
0.042193141,3893.519348
0.06681465,3891.719622
0.030666667,3889.920351
0.007959319,3888.121533
0.074563272,3886.32317
0.018185663,3884.52526
0.041924824,3882.727805
0.049536256,3880.930803
0.074452555,3879.134255
0.048971193,3877.33816
0.033694098,3875.542519
0.05163579,3873.747331
0.058375125,3871.952596
0.049838311,3870.158315
0.037412315,3868.364486
0.017707919,3866.57111
0.039435531,3864.778187
0.004963272,3862.985717
0.02596396,3861.193699
0.065800162,3859.402133
0.011049724,3857.61102
0.016792125,3855.820359
0.037632301,3854.03015
0.033182193,3852.240393
0.037510478,3850.451088
0.053407732,3848.662235
0.041940789,3846.873833
0.027120718,3845.085883
0.050574249,3843.298384
0.071062871,3841.511336
0.058229352,3839.72474
0.013798112,3837.938595
0.027111034,3836.152901
0.049786871,3834.367657
0.00033428,3832.582865
0.030690957,3830.798523
0.048760054,3829.014632
0.033749578,3827.231191
0.03104,3825.4482
0.03576405,3823.665659
0.006520451,3821.883569
0.042874039,3820.101929
0.017727405,3818.320738
0.026617058,3816.539997
0.021337127,3814.759706
0.027777778,3812.979865
0.036927184,3811.200473
0.033117457,3809.42153
0.020203488,3807.643036
0.051612903,3805.864992
0.030218243,3804.087396
0.036668484,3802.31025
0.03689242,3800.533552
0.037570698,3798.757303
0.034865293,3796.981502
0.047108641,3795.20615
0.017193857,3793.431246
0.012870662,3791.65679
0.03346929,3789.882783
0.031564343,3788.109223
0.0316791,3786.336112
0.018265799,3784.563448
0.025156597,3782.791232
0.020750509,3781.019463
0.014767318,3779.248142
0.023892774,3777.477268
0.038335159,3775.706842
0.04418828,3773.936863
0.028475551,3772.16733
0.017359786,3770.398245
0.036390102,3768.629606
0.005332041,3766.861414
0.031739925,3765.093669
0.021298652,3763.32637
0.044023943,3761.559517
0.035128354,3759.793111
0.026185281,3758.027151
0.034265734,3756.261637
0.034097767,3754.496569
0.035014152,3752.731946
0.02485155,3750.96777
0.042063492,3749.204039
0.036705882,3747.440753
0.042545274,3745.677913
0.049488276,3743.915518
0.079203727,3742.153569
0.029890919,3740.392064
0.025862069,3738.631004
0.041981747,3736.870389
0.04529125,3735.110219
0.033975224,3733.350494
0.03702833,3731.591213
0.03036547,3729.832376
0.053382992,3728.073984
0.026840731,3726.316036
0.037519706,3724.558532
0.03836572,3722.801472
0.054971093,3721.044856
0.057642545,3719.288684
0.045886623,3717.532955
0.055871614,3715.77767
0.048076106,3714.022828
0.070995599,3712.268429
0.058723404,3710.514474
0.075454394,3708.760962
0.065590398,3707.007893
0.064882943,3705.255267
0.087723721,3703.503083
0.083671946,3701.751343
0.087856561,3700.000045
0.069576021,3698.249189
0.077393999,3696.498776
0.061307288,3694.748804
0.077451498,3692.999275
0.068522649,3691.250189
0.079175091,3689.501544
0.063510298,3687.75334
0.059161077,3686.005579
0.060384924,3684.258259
0.047706422,3682.511381
0.05689419,3680.764944
0.051981806,3679.018948
0.042553191,3677.273393
0.040923487,3675.52828
0.021103357,3673.783607
0.027780138,3672.039375
0.022972503,3670.295584
0.035043035,3668.552234
0.030891748,3666.809324
0.042774952,3665.066855
0.030124849,3663.324826
0.022203698,3661.583237
0.015921434,3659.842088
0.013334305,3658.101379
0.021726782,3656.36111
0.030160292,3654.621281
0.011688777,3652.881892
0.018934911,3651.142942
0.017723665,3649.404431
0.015496668,3647.66636
-0.001402197,3645.928728
0.018856401,3644.191536
0.021448129,3642.454782
0.015702479,3640.718467
0.009165496,3638.982591
0.028635314,3637.247154
0.016645507,3635.512155
0.024480712,3633.777595
0.012441573,3632.043473
0.012408861,3630.30979
-0.001853965,3628.576544
0.006688963,3626.843737
0.004271375,3625.111368
0.009695291,3623.379436
0.019060585,3621.647943
0.003483793,3619.916887
0.005780786,3618.186268
0.012163524,3616.456087
0.002844546,3614.726343
0.019214703,3612.997036
0.008452851,3611.268167
0.013664344,3609.539734
0.003888181,3607.811739
0.006209521,3606.08418
0.003393439,3604.357058
0.00648033,3602.630372
0.008895039,3600.904123
0.002718594,3599.178311
0.01184744,3597.452934
0.004288953,3595.727994
0.006913135,3594.00349
0.005672903,3592.279421
0.00519248,3590.555789
0.004750451,3588.832592
0.002476934,3587.109831
0.006006553,3585.387505
0.001214108,3583.665615
0.017013682,3581.94416
0.018530426,3580.223141
0.013906895,3578.502556
0.003971181,3576.782406
0.011791933,3575.062692
0.007726027,3573.343412
0.009605938,3571.624566
0.011333817,3569.906156
0.009620732,3568.188179
0.008743357,3566.470637
0.006544429,3564.75353
0.004938412,3563.036856
0.008569988,3561.320617
0.004544944,3559.604811
0.008179959,3557.88944
-0.003707485,3556.174502
0.009595056,3554.459997
-0.005455797,3552.745926
0.018614326,3551.032289
0.010998537,3549.319085
0.013156482,3547.606314
0.011291876,3545.893976
0.012611553,3544.182071
0.012097623,3542.470599
0.006610452,3540.75956
0.009411765,3539.048953
0.014439308,3537.338779
0.016176853,3535.629038
0.014484417,3533.919729
0.009277807,3532.210852
0.00895208,3530.502407
0.006405951,3528.794394
0.019647381,3527.086813
0.014451466,3525.379664
0.00740664,3523.672947
0.01151299,3521.966662
0.009664881,3520.260808
0.008031504,3518.555385
0.008354089,3516.850394
0.013491607,3515.145833
0.021894014,3513.441704
0.022878383,3511.738006
0.013013273,3510.034739
